[E 240815 10:41:13 smartConnect:244] Error occurred while making a GET request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/getRMS. Error: Invalid Token. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/getRMS, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '30:9c:23:00:00:43', 'Accept': 'application/json', 'X-PrivateKey': 'C6FQ74vi', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 240815 10:43:38 smartConnect:244] Error occurred while making a GET request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/getRMS. Error: Invalid Token. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/getRMS, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '30:9c:23:00:00:43', 'Accept': 'application/json', 'X-PrivateKey': 'C6FQ74vi', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 240815 10:48:39 smartConnect:244] Error occurred while making a GET request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/getRMS. Error: Invalid Token. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/getRMS, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '30:9c:23:00:00:43', 'Accept': 'application/json', 'X-PrivateKey': 'C6FQ74vi', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 240815 10:51:05 smartConnect:244] Error occurred while making a GET request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/getRMS. Error: Invalid Token. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/getRMS, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '30:9c:23:00:00:43', 'Accept': 'application/json', 'X-PrivateKey': 'C6FQ74vi', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 240815 10:53:16 smartConnect:244] Error occurred while making a GET request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/getRMS. Error: Invalid Token. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/getRMS, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '30:9c:23:00:00:43', 'Accept': 'application/json', 'X-PrivateKey': 'C6FQ74vi', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 240815 10:53:30 smartConnect:244] Error occurred while making a GET request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/getRMS. Error: Invalid Token. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/getRMS, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '30:9c:23:00:00:43', 'Accept': 'application/json', 'X-PrivateKey': 'C6FQ74vi', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 240815 10:53:39 smartConnect:244] Error occurred while making a GET request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/getRMS. Error: Invalid Token. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/getRMS, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '30:9c:23:00:00:43', 'Accept': 'application/json', 'X-PrivateKey': 'C6FQ74vi', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 240815 11:08:20 smartConnect:244] Error occurred while making a GET request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/getRMS. Error: Invalid Token. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/getRMS, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '30:9c:23:00:00:43', 'Accept': 'application/json', 'X-PrivateKey': 'C6FQ74vi', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 240815 11:11:41 smartConnect:244] Error occurred while making a GET request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/order/v1/getOrderBook. Error: Invalid Token. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/order/v1/getOrderBook, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '30:9c:23:00:00:43', 'Accept': 'application/json', 'X-PrivateKey': 'C6FQ74vi', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 240815 11:11:46 smartConnect:244] Error occurred while making a GET request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/getRMS. Error: Invalid Token. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/getRMS, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '30:9c:23:00:00:43', 'Accept': 'application/json', 'X-PrivateKey': 'C6FQ74vi', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 240815 11:13:07 smartConnect:244] Error occurred while making a GET request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/getRMS. Error: Invalid Token. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/getRMS, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '30:9c:23:00:00:43', 'Accept': 'application/json', 'X-PrivateKey': 'C6FQ74vi', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
